country_url,country,capital,language,currency
http://www.wikidata.org/entity/Q408,Австралия,Канберра,английский язык,австралийский доллар
http://www.wikidata.org/entity/Q40,Австрия,Вена,немецкий язык,евро
http://www.wikidata.org/entity/Q227,Азербайджан,Баку,азербайджанский язык,азербайджанский манат
http://www.wikidata.org/entity/Q222,Албания,Тирана,албанский язык,албанский лек
http://www.wikidata.org/entity/Q262,Алжир,Алжир,арабский язык,алжирский динар
http://www.wikidata.org/entity/Q916,Ангола,Луанда,португальский язык,ангольская кванза
http://www.wikidata.org/entity/Q228,Андорра,Андорра-ла-Велья,каталанский язык,евро
http://www.wikidata.org/entity/Q781,Антигуа и Барбуда,Сент-Джонс,английский язык,восточно-карибский доллар
http://www.wikidata.org/entity/Q414,Аргентина,Буэнос-Айрес,испанский язык,аргентинское песо
http://www.wikidata.org/entity/Q399,Армения,Ереван,армянский язык,армянский драм
http://www.wikidata.org/entity/Q889,Афганистан,Кабул,Пушту,афгани
http://www.wikidata.org/entity/Q778,Багамские Острова,Нассау,английский язык,багамский доллар
http://www.wikidata.org/entity/Q902,Бангладеш,Дакка,бенгальский язык,бангладешская така
http://www.wikidata.org/entity/Q244,Барбадос,Бриджтаун,английский язык,барбадосский доллар
http://www.wikidata.org/entity/Q398,Бахрейн,Манама,арабский язык,бахрейнский динар
http://www.wikidata.org/entity/Q242,Белиз,Бельмопан,английский язык,белизский доллар
http://www.wikidata.org/entity/Q184,Белоруссия,Минск,белорусский язык,белорусский рубль
http://www.wikidata.org/entity/Q31,Бельгия,Брюссель,французский язык,евро
http://www.wikidata.org/entity/Q962,Бенин,Порто-Ново,французский язык,Франк КФА BCEAO
http://www.wikidata.org/entity/Q219,Болгария,София,болгарский язык,болгарский лев
http://www.wikidata.org/entity/Q750,Боливия,Ла-Пас,испанский язык,боливиано
http://www.wikidata.org/entity/Q750,Боливия,Сукре,испанский язык,боливиано
http://www.wikidata.org/entity/Q225,Босния и Герцеговина,Сараево,хорватский язык,конвертируемая марка
http://www.wikidata.org/entity/Q963,Ботсвана,Габороне,английский язык,Ботсванская пула
http://www.wikidata.org/entity/Q155,Бразилия,Бразилиа,португальский язык,бразильский реал
http://www.wikidata.org/entity/Q921,Бруней,Бандар-Сери-Бегаван,английский язык,брунейский доллар
http://www.wikidata.org/entity/Q965,Буркина-Фасо,Уагадугу,французский язык,Франк КФА BCEAO
http://www.wikidata.org/entity/Q967,Бурунди,Бужумбура,английский язык,Бурундийский франк
http://www.wikidata.org/entity/Q917,Бутан,Тхимпху,Дзонг-кэ,нгултрум
http://www.wikidata.org/entity/Q686,Вануату,Порт-Вила,французский язык,вату
http://www.wikidata.org/entity/Q145,Великобритания,Лондон,валлийский язык,фунт стерлингов
http://www.wikidata.org/entity/Q28,Венгрия,Будапешт,венгерский язык,венгерский форинт
http://www.wikidata.org/entity/Q717,Венесуэла,Каракас,испанский язык,венесуэльский боливар
http://www.wikidata.org/entity/Q574,Восточный Тимор,Дили,португальский язык,доллар США
http://www.wikidata.org/entity/Q881,Вьетнам,Ханой,вьетнамский язык,вьетнамский донг
http://www.wikidata.org/entity/Q1000,Габон,Либревиль,французский язык,франк КФА BEAC
http://www.wikidata.org/entity/Q734,Гайана,Джорджтаун,английский язык,гайанский доллар
http://www.wikidata.org/entity/Q1005,Гамбия,Банжул,английский язык,Гамбийский даласи
http://www.wikidata.org/entity/Q117,Гана,Аккра,английский язык,Ганский седи
http://www.wikidata.org/entity/Q774,Гватемала,Гватемала,испанский язык,гватемальский кетсаль
http://www.wikidata.org/entity/Q1006,Гвинея,Конакри,французский язык,Гвинейский франк
http://www.wikidata.org/entity/Q1007,Гвинея-Бисау,Бисау,португальский язык,Франк КФА BCEAO
http://www.wikidata.org/entity/Q183,Германия,Берлин,немецкий язык,евро
http://www.wikidata.org/entity/Q783,Гондурас,Тегусигальпа,испанский язык,гондурасская лемпира
http://www.wikidata.org/entity/Q769,Гренада,Сент-Джорджес,английский язык,восточно-карибский доллар
http://www.wikidata.org/entity/Q41,Греция,Афины,новогреческий язык,евро
http://www.wikidata.org/entity/Q230,Грузия,Тбилиси,грузинский язык,грузинский лари
http://www.wikidata.org/entity/Q230,Грузия,Кутаиси,грузинский язык,грузинский лари
http://www.wikidata.org/entity/Q974,Демократическая Республика Конго,Киншаса,французский язык,Конголезский франк
http://www.wikidata.org/entity/Q977,Джибути,Джибути,арабский язык,Франк Джибути
http://www.wikidata.org/entity/Q784,Доминика,Розо,английский язык,восточно-карибский доллар
http://www.wikidata.org/entity/Q786,Доминиканская Республика,Санто-Доминго,испанский язык,доминиканское песо
http://www.wikidata.org/entity/Q79,Египет,Каир,арабский язык,египетский фунт
http://www.wikidata.org/entity/Q953,Замбия,Лусака,английский язык,Замбийская квача
http://www.wikidata.org/entity/Q954,Зимбабве,Хараре,шона,доллар США
http://www.wikidata.org/entity/Q801,Израиль,Иерусалим,иврит,новый израильский шекель
http://www.wikidata.org/entity/Q668,Индия,Нью-Дели,хинди,индийская рупия
