movie,movie_title,year,genreFirst,directorFirst
http://www.wikidata.org/entity/Q839434,Куда приводят мечты,1998,фэнтезийный фильм,"Уорд, Винсент"
http://www.wikidata.org/entity/Q1108669,Вор,1980,кинокомедия,Паскале Феста Кампаниле
http://www.wikidata.org/entity/Q318910,Интервью с вампиром,1994,фильм ужасов,Нил Джордан
http://www.wikidata.org/entity/Q2364668,Алая буква,1973,фильм-драма,Вим Вендерс
http://www.wikidata.org/entity/Q20962283,Пассажиры,2017,научно-фантастический фильм,"Тильдум, Мортен"
http://www.wikidata.org/entity/Q3823607,Последний выстрел,1975,Eurocrime,"Мартино, Серджо"
http://www.wikidata.org/entity/Q3108887,Глинка (фильм),1946,фильм-драма,Лео Оскарович Арнштам
http://www.wikidata.org/entity/Q28047510,Пьяная фирма,2016,трагикомедия,Григорий Константинопольский
http://www.wikidata.org/entity/Q4084224,Берегите женщин,1981,комедия,"Макаров, Виктор Павлович"
http://www.wikidata.org/entity/Q935331,Видок,2001,фильм-драма,Питоф
http://www.wikidata.org/entity/Q22034157,Смерть в Сараево,2016,фильм-драма,"Танович, Данис"
http://www.wikidata.org/entity/Q2405363,Том Сойер,1930,фильм-драма,"Кромвелл, Джон"
http://www.wikidata.org/entity/Q873361,Умизару,2004,фильм-драма,"Хасуми, Эйитиро"
http://www.wikidata.org/entity/Q122713,Астрал,2011,фильм ужасов,Джеймс Ван
http://www.wikidata.org/entity/Q2306068,Белое солнце пустыни,1970,вестерн,Владимир Яковлевич Мотыль
http://www.wikidata.org/entity/Q1103569,Тысяча слов,2012,фильм-драма,Брайан Роббинс
http://www.wikidata.org/entity/Q1509855,"Ну что, приехали: Ремонт",2007,кинокомедия,Стив Карр
http://www.wikidata.org/entity/Q493865,"Мама и папа, спасите мир!",1992,романтическая комедия,Грег Биман
http://www.wikidata.org/entity/Q1733779,Лос-Анджелес без карты,1998,комедийная драма,"Каурисмяки, Мика"
http://www.wikidata.org/entity/Q2919862,Эон Флакс,2005,боевик,Карин Кусама
http://www.wikidata.org/entity/Q267662,Новобранцы идут на войну,1974,кинокомедия,"Зиди, Клод"
http://www.wikidata.org/entity/Q781534,Король Калифорнии,2007,кинокомедия,Майк Кэхилл
http://www.wikidata.org/entity/Q3791182,Обручённые,1941,фильм-драма,"Камерини, Марио"
http://www.wikidata.org/entity/Q952142,Три цвета: Красный,1994,фильм-драма,Кшиштоф Кесьлёвский
http://www.wikidata.org/entity/Q2758737,Времена года,2006,фильм-драма,Нури Бильге Джейлан
http://www.wikidata.org/entity/Q762077,Гионские сёстры,1936,фильм-драма,Кэндзи Мидзогути
http://www.wikidata.org/entity/Q1763572,Голди,1931,кинокомедия,Бенжамин Столофф
http://www.wikidata.org/entity/Q8982692,От меня к тебе,2010,фильм-драма,"Кумадзава, Наото"
http://www.wikidata.org/entity/Q6726802,Воссоединение семьи Мэдеи,2006,комедийная драма,Тайлер Перри
http://www.wikidata.org/entity/Q16011764,Бабадук,2014,фильм ужасов,Дженнифер Кент
http://www.wikidata.org/entity/Q1195642,Человек с рентгеновскими глазами,1963,научно-фантастический фильм,Роджер Корман
http://www.wikidata.org/entity/Q32303,Охота,2012,рождественский фильм,Томас Винтерберг
http://www.wikidata.org/entity/Q1082898,Однорукий меченосец,1967,боевик,Чжан Чэ
http://www.wikidata.org/entity/Q45692,Призраки в Коннектикуте,2009,фильм ужасов,Питер Корнвэлл
http://www.wikidata.org/entity/Q1961856,Три сердца,1993,Гомоэротизм в кинo,Юрек Богаевич
http://www.wikidata.org/entity/Q4502959,ЦРУ: Операция «Алекса»,1993,боевик,Джозеф Мехри
http://www.wikidata.org/entity/Q220423,Шоколад,2000,трагикомедия,Лассе Халльстрём
http://www.wikidata.org/entity/Q1622743,Злые мультфильмы,1992,фэнтезийный фильм,Фрэд Олен Рэй
http://www.wikidata.org/entity/Q969651,Долговая яма,1986,кинокомедия,Ричард Бенджамин
http://www.wikidata.org/entity/Q1065829,Каратель: Территория войны,2008,боевик,Лекси Александр
http://www.wikidata.org/entity/Q1474655,Идеальный мужчина,2005,романтическая комедия,Марк Росман
http://www.wikidata.org/entity/Q4385357,Встречи с привидениями,1980,боевик,"Хун, Саммо"
http://www.wikidata.org/entity/Q4349887,Первый после Бога,2005,фильм-драма,"Чигинский, Василий Валерьевич"
http://www.wikidata.org/entity/Q1572852,История жестокой юности,1960,фильм-драма,Нагиса Осима
http://www.wikidata.org/entity/Q1753661,Лейк-Плэсид: Озеро страха,1999,кинокомедия,Стив Майнер
http://www.wikidata.org/entity/Q110138,Лучший стрелок,1986,боевик,Тони Скотт
http://www.wikidata.org/entity/Q1678494,Дедушка,1998,мелодрама,Хосе Луис Гарси
http://www.wikidata.org/entity/Q471362,Омар Мухтар (фильм),1981,фильм-биография,Мустафа Аккад
http://www.wikidata.org/entity/Q4290909,Меридиан (фильм),1990,фильм ужасов,Чарльз Бэнд
http://www.wikidata.org/entity/Q4526839,Штепсель женит Тарапуньку,1957,комедия,"Березин, Ефим Иосифович"
http://www.wikidata.org/entity/Q705216,Дом мёртвых,2003,боевик,Уве Болл
http://www.wikidata.org/entity/Q3822622,Идти преступным путём,1948,нуар,"Дуглас, Гордон"
http://www.wikidata.org/entity/Q469480,"Человек, который был Шерлоком Холмсом",1937,кинокомедия,Эдуард фон Борзоди
http://www.wikidata.org/entity/Q430521,Пристрели их,2007,триллер,Дэвис Майкл
http://www.wikidata.org/entity/Q2418849,Винсент и Тео,1990,фильм-биография,"Олтмен, Роберт"
http://www.wikidata.org/entity/Q1139259,Класс,2008,кинокомедия,"Канте, Лоран"
http://www.wikidata.org/entity/Q53481,Сатанинское танго,1994,фильм-драма,"Тарр, Бела"
http://www.wikidata.org/entity/Q303495,Достичь небес,1956,фильм-биография,Льюис Гилберт
http://www.wikidata.org/entity/Q760012,Ганга Дин,1939,приключенческий фильм,"Стивенс, Джордж"
http://www.wikidata.org/entity/Q3208439,Её возмездие,1968,фэнтезийный фильм,Клифф Оуэн
http://www.wikidata.org/entity/Q1334314,Эльвира — повелительница тьмы,1988,кинокомедия,Джеймс Синьорелли
http://www.wikidata.org/entity/Q2611949,Что случилось с Вирджинией?,2010,фильм-драма,Дастин Лэнс Блэк
http://www.wikidata.org/entity/Q1216770,Афера Томаса Крауна,1999,фильм-ограбление,"Мактирнан, Джон"
http://www.wikidata.org/entity/Q4518685,"Чёрная роза — эмблема печали, красная роза — эмблема любви (фильм)",1989,мюзикл,Сергей Александрович Соловьёв
http://www.wikidata.org/entity/Q627471,Это не фильм,2011,документальный фильм,Джафар Панахи
http://www.wikidata.org/entity/Q4466945,Ты есть,1993,драма,"Макеранец, Владимир Ильич"
http://www.wikidata.org/entity/Q468185,Французский для начинающих,2006,романтическая комедия,Кристиан Диттер
http://www.wikidata.org/entity/Q19320,Чертёнок,1988,кинокомедия,Роберто Бениньи
http://www.wikidata.org/entity/Q1029692,"Каморра, или Сложное переплетение женских судеб",1986,фильм-драма,Лина Вертмюллер
http://www.wikidata.org/entity/Q172975,Отступники,2006,фильм-драма,Мартин Скорсезе
http://www.wikidata.org/entity/Q4101668,В Сибирь (фильм),1930,фильм-драма,"Шаро, Генрик"
http://www.wikidata.org/entity/Q841961,Жажда смерти,1974,фильм-драма,"Уиннер, Майкл"
http://www.wikidata.org/entity/Q4481105,Фантазии Фарятьева (фильм),1979,мелодрама,"Авербах, Илья Александрович"
http://www.wikidata.org/entity/Q1557461,Кишан и Канхайя,1990,фильм-драма,Ракеш Рошан
http://www.wikidata.org/entity/Q1138620,Придурки,2006,документальный фильм,Джефф Тремейн
http://www.wikidata.org/entity/Q4124280,Волчица (фильм),1983,ужасы,"Пестрак, Марек"
http://www.wikidata.org/entity/Q1051469,Земное ядро: Бросок в преисподнюю,2003,боевик,Джон Эмиел
http://www.wikidata.org/entity/Q913440,"Человек, которого не было",2001,криминальный фильм,Итан Коэн
http://www.wikidata.org/entity/Q1329647,Элиза (фильм),1995,фильм-драма,Жан Бекер
http://www.wikidata.org/entity/Q156608,Превосходство Борна,2004,боевик,Фрэнк Маршалл
http://www.wikidata.org/entity/Q830556,Зверь,1988,фильм-драма,Кевин Рейнольдс
http://www.wikidata.org/entity/Q495134,Сочувствие госпоже Месть,2005,триллер,Пак Чхан Ук
http://www.wikidata.org/entity/Q1345583,Злые и красивые,1952,фильм-драма,Винсент Миннелли
http://www.wikidata.org/entity/Q1928695,Когда мужчина любит женщину,1994,фильм-драма,Луис Мандоки
http://www.wikidata.org/entity/Q285020,Потерянный город,2005,фильм-драма,Энди Гарсиа
http://www.wikidata.org/entity/Q7033275,Ночная слежка 4,1996,эротический триллер,Род МакДональд
http://www.wikidata.org/entity/Q3325145,"Мать (фильм, 1996)",1996,комедийная драма,Альберт Брукс
http://www.wikidata.org/entity/Q1403104,Ночная Маргарита,1955,фэнтезийный фильм,Клод Отан-Лара
http://www.wikidata.org/entity/Q4077989,Барбара Радзивилл (фильм),1936,фильм-драма,Юзеф Лейтес
http://www.wikidata.org/entity/Q4062655,"Алло, Варшава!",1971,кинокомедия,"Воронцов, Ольгерд Риксович"
http://www.wikidata.org/entity/Q503313,Обыкновенные люди,1980,фильм-драма,Роберт Редфорд
http://www.wikidata.org/entity/Q4375079,Похищение чародея,1989,путешествие во времени,"Кобзев, Виктор Михайлович"
http://www.wikidata.org/entity/Q4157281,Дельта Венеры,1994,фильм-драма,Залман Кинг
http://www.wikidata.org/entity/Q84220,Джонни взял ружьё,1971,военный фильм,"Трамбо, Далтон"
http://www.wikidata.org/entity/Q1852067,Алекс и Эмма,2003,романтическая комедия,"Райнер, Роб"
http://www.wikidata.org/entity/Q7968758,Соломенный щит,2013,триллер,Такаси Миикэ
http://www.wikidata.org/entity/Q1198844,Эффект спускового крючка,1996,боевик,Дэвид Кепп
http://www.wikidata.org/entity/Q10809656,Пушкин. Последняя дуэль,2006,фильм-биография,Наталья Сергеевна Бондарчук
http://www.wikidata.org/entity/Q260648,Пир,2005,комедийный фильм ужасов,Джон Гулагер
http://www.wikidata.org/entity/Q979196,Психоз,1998,триллер,Гас Ван Сент
http://www.wikidata.org/entity/Q15733440,Аннабель,2014,фильм ужасов,Джон Р. Леонетти
http://www.wikidata.org/entity/Q569941,Впритык,2010,роуд-муви,Тодд Филлипс
http://www.wikidata.org/entity/Q220655,Страна холмов и долин,1998,фильм-драма,Стивен Фрирз
http://www.wikidata.org/entity/Q4158615,Депутат Балтики,1936,фильм-драма,"Зархи, Александр Григорьевич"
http://www.wikidata.org/entity/Q4131560,Гадкие лебеди (фильм),2006,научно-фантастический фильм,"Лопушанский, Константин Сергеевич"
http://www.wikidata.org/entity/Q2659907,Суши girl,2008,комедийная драма,Робер Аллан Акерман
http://www.wikidata.org/entity/Q162225,Падший,1998,триллер,"Хоблит, Грегори"
http://www.wikidata.org/entity/Q1212252,Убийство китайского букмекера,1976,фильм-драма,Джон Кассаветис
http://www.wikidata.org/entity/Q322206,Небесные создания,1994,женский бадди-муви,Питер Джексон
http://www.wikidata.org/entity/Q15079318,Теория всего,2015,экранизация,Джеймс Марш
http://www.wikidata.org/entity/Q2587051,Первая Орбита,2011,документальный фильм,Кристофер Райли
http://www.wikidata.org/entity/Q771408,Горец 2: Оживление,1991,боевик,"Малкэхи, Рассел"
http://www.wikidata.org/entity/Q1199530,След Розовой Пантеры,1982,кинокомедия,"Эдвардс, Блэйк"
http://www.wikidata.org/entity/Q6945601,Мой револьвер быстр,1957,детективный фильм,"Сэвилл, Виктор"
http://www.wikidata.org/entity/Q221113,Искусственный разум,2001,постапокалиптический фильм,Стивен Спилберг
http://www.wikidata.org/entity/Q657204,Как выйти замуж за 3 дня,2010,романтическая комедия,Роджер Бирнбаум
http://www.wikidata.org/entity/Q814617,"Прощай, друг",1968,бадди-муви,Жан Вотрен
http://www.wikidata.org/entity/Q73627,Cirque du Soleil: Сказочный мир,2012,фэнтезийный фильм,Эндрю Адамсон
http://www.wikidata.org/entity/Q1358289,Место на кладбище,1997,комедийная драма,Пол Вейланд
http://www.wikidata.org/entity/Q464716,Феномен,1996,фэнтезийный фильм,Джон Тёртелтауб
http://www.wikidata.org/entity/Q4315405,Не забудь… станция Луговая,1966,драма,Никита Фёдорович Курихин
http://www.wikidata.org/entity/Q16320113,Поиск,2014,фильм-драма,Мишель Хазанавичус
http://www.wikidata.org/entity/Q876284,В одно ухо влетело,2008,кинокомедия,"Кинни, Терри"
http://www.wikidata.org/entity/Q3355091,Оранжевая любовь,2007,мелодрама,"Бадоев, Алан Казбекович"
http://www.wikidata.org/entity/Q1219569,Нежная кожа,1964,фильм-драма,Франсуа Трюффо
http://www.wikidata.org/entity/Q2064453,Осторожно! Бандиты!,1951,фильм-драма,"Лиццани, Карло"
http://www.wikidata.org/entity/Q533383,Комната,2003,фильм-драма,Томми Вайсо
http://www.wikidata.org/entity/Q246711,Дар,2000,фильм ужасов,Сэм Рэйми
http://www.wikidata.org/entity/Q3706433,Под каким-то знаком,1975,кинокомедия,Серджо Корбуччи
http://www.wikidata.org/entity/Q1755950,Незнакомец,1981,фильм ужасов,Джозеф Зито
http://www.wikidata.org/entity/Q2292071,Дьявол едет автостопом,1947,триллер,"Файст, Феликс Э."
http://www.wikidata.org/entity/Q2093198,Тайный брат,2002,кинокомедия,Малкольм Д. Ли
http://www.wikidata.org/entity/Q813983,Игра слов,2005,фильм-драма,Скотт МакГихи
http://www.wikidata.org/entity/Q923343,Дурдом на колёсах,2006,кинокомедия,Барри Зонненфельд
http://www.wikidata.org/entity/Q596191,Большая победа Шафта!,1972,боевик,Гордон Паркс
http://www.wikidata.org/entity/Q1040848,"Доброго вечера, миссис Кэмпбелл",1968,кинокомедия,Мельвин Франк
http://www.wikidata.org/entity/Q4424359,Смертельный совет,1994,комедийная драма,Мэнди Флетчер
http://www.wikidata.org/entity/Q1755845,Голый барабанщик,2008,кинокомедия,"Каттанео, Питер"
http://www.wikidata.org/entity/Q1421747,Пикник у Висячей скалы,1975,фильм-драма,"Уир, Питер"
http://www.wikidata.org/entity/Q4429801,Состязание (фильм),1963,фильм-драма,"Мансуров, Булат Богаутдинович"
http://www.wikidata.org/entity/Q3641073,Подвиды 2: Камень крови,1993,фильм о вампирах,Тед Николау
http://www.wikidata.org/entity/Q206589,Гомер и Эдди,1989,фильм-драма,Андрей Сергеевич Кончаловский
http://www.wikidata.org/entity/Q7749920,"Человек, который обманул себя",1950,фильм-драма,"Файст, Феликс Э."
http://www.wikidata.org/entity/Q612323,Нелл,1994,фильм-драма,Майкл Эптед
http://www.wikidata.org/entity/Q670378,Дни жатвы,1978,фильм о любви,"Малик, Терренс"
http://www.wikidata.org/entity/Q793074,Бенни и Джун,1993,фильм-драма,Джеримайя С. Чечик
http://www.wikidata.org/entity/Q426517,Правосудие для всех,1979,фильм-драма,"Джуисон, Норман"
http://www.wikidata.org/entity/Q20968495,Викинг,2016,фильм-биография,"Кравчук, Андрей Юрьевич"
http://www.wikidata.org/entity/Q1263650,Лицом к лицу,1967,бадди-муви,"Соллима, Серджио"
http://www.wikidata.org/entity/Q925980,До мозга костей,1989,кинокомедия,"Эдвардс, Блэйк"
http://www.wikidata.org/entity/Q1319945,Лапочка 2: Город танца,2011,фильм-драма,Билли Вудрафф
http://www.wikidata.org/entity/Q896103,Ребята по соседству,1991,история взросления,"Синглтон, Джон"
http://www.wikidata.org/entity/Q705893,Змеиное яйцо,1977,фильм-драма,Ингмар Бергман
http://www.wikidata.org/entity/Q585106,Поспешишь — людей насмешишь,1997,романтическая комедия,"Теннант, Энди"
http://www.wikidata.org/entity/Q1474562,Pecker,1998,комедийная драма,"Уотерс, Джон"
http://www.wikidata.org/entity/Q463927,Забегаловка (фильм),1982,фильм-драма,Барри Левинсон
http://www.wikidata.org/entity/Q28665896,Ассоль,1982,мелодрама,"Степанцев, Борис Павлович"
http://www.wikidata.org/entity/Q636222,Ангелы и насекомые,1995,фильм-драма,Филип Хаас
http://www.wikidata.org/entity/Q521948,Полицейский и бандит,1977,кинокомедия,Хэл Нидем
http://www.wikidata.org/entity/Q2299276,Когда Землёй владели динозавры,1970,фэнтезийный фильм,Вэл Гест
http://www.wikidata.org/entity/Q4110171,Вечера на хуторе близ Диканьки (2002),2001,рождественский фильм,Сергей Егоров
http://www.wikidata.org/entity/Q931557,Медея,1969,фэнтезийный фильм,Пьер Паоло Пазолини
http://www.wikidata.org/entity/Q2069873,Кукла,1968,экранизация,"Хас, Войцех Ежи"
http://www.wikidata.org/entity/Q584057,Освободите Вилли 2: Новое приключение,1995,приключенческий фильм,Дуайт Х. Литтл
http://www.wikidata.org/entity/Q53719,Петля времени,2012,научно-фантастический фильм,Райан Джонсон
http://www.wikidata.org/entity/Q186014,Дух времени,2007,документальный фильм,"Джозеф, Питер"
http://www.wikidata.org/entity/Q752017,Порок на экспорт,2007,фильм-драма,Дэвид Кроненберг
http://www.wikidata.org/entity/Q1630461,Захват,2004,документальный фильм,"Кляйн, Наоми"
http://www.wikidata.org/entity/Q2278469,В зимнюю стужу,1987,триллер,"Пенн, Артур"
http://www.wikidata.org/entity/Q2533178,Криминальная полоса в прессе США,1952,криминальный фильм,Ричард Брукс
http://www.wikidata.org/entity/Q1471328,Китти Фойл (фильм),1940,экранизация,Сэм Вуд
http://www.wikidata.org/entity/Q3150366,Самсара,2011,документальный фильм,Рон Фрике
http://www.wikidata.org/entity/Q4157688,Демоны в мыслях,1972,фильм ужасов,Питер Сайкс
http://www.wikidata.org/entity/Q10527185,"Столетний старик, который вылез в окно и исчез",2013,приключенческий фильм,Феликс Хернгрен
http://www.wikidata.org/entity/Q2525680,Лабиринт сновидений,1987,научно-фантастический фильм,"Кавадзири, Ёсиаки"
http://www.wikidata.org/entity/Q4366972,Под созвездием Близнецов,1979,фантастический фильм,"Ивченко, Борис Викторович"
http://www.wikidata.org/entity/Q4247687,Кура неукротимая (фильм),1969,драма,"Сеидзаде, Гусейн Али оглу"
http://www.wikidata.org/entity/Q3392725,Зажги меня,2013,триллер,Кэтрин Хардвик
http://www.wikidata.org/entity/Q867713,"Город в огне (фильм, 1987)",1987,криминальный фильм,Ринго Лэм
http://www.wikidata.org/entity/Q1167200,Свидетель,1999,триллер,Стефан Эллиотт
http://www.wikidata.org/entity/Q2283907,Правосудие свершилось,1950,фильм-драма,Андре Кайат
http://www.wikidata.org/entity/Q2497687,Слёзы капали,1982,трагикомедия,Георгий Данелия
http://www.wikidata.org/entity/Q432088,Морис,1987,экранизация,Джеймс Айвори
http://www.wikidata.org/entity/Q3283849,Бог — бразилец,2003,комедийная драма,"Дьегиш, Карлуш"
http://www.wikidata.org/entity/Q5479580,Река,2001,фильм-драма,Ярно Лампела
http://www.wikidata.org/entity/Q4317084,"Ненависть (фильм, 1977)",1975,вестерн,Самвел Гаспаров
http://www.wikidata.org/entity/Q1425480,Винчестер 73,1950,вестерн,Энтони Манн
http://www.wikidata.org/entity/Q4503152,Царевич Проша,1974,семейный фильм,Надежда Николаевна Кошеверова
http://www.wikidata.org/entity/Q3273517,Моя жена великолепна,1951,кинокомедия,"Юнебель, Андре"
http://www.wikidata.org/entity/Q3526060,Дорога грома,1958,фильм-драма,"Рипли, Артур"
http://www.wikidata.org/entity/Q2634003,Каблуки,2000,комедийная драма,Дейн Перри
http://www.wikidata.org/entity/Q534000,Узкое место,1955,нуар,"Карлсон, Фил"
http://www.wikidata.org/entity/Q4173638,Его звали Роберт,1967,комедия,"Ольшвангер, Илья Саулович"
http://www.wikidata.org/entity/Q657259,Большие надежды,1998,фильм-драма,Альфонсо Куарон
http://www.wikidata.org/entity/Q610103,Родственники,1989,романтическая комедия,Джоэл Шумахер
http://www.wikidata.org/entity/Q1760854,Джентльмены женятся на брюнетках,1955,музыкальный фильм,Ричард Сейл
http://www.wikidata.org/entity/Q279274,Мост в Терабитию,2007,фильм-драма,Габор Чупо
http://www.wikidata.org/entity/Q2082065,Плохая мамочка,2011,фильм-драма,Фамке Янссен
http://www.wikidata.org/entity/Q1273736,Годзилла снова нападает,1955,фильм ужасов,"Ода, Мотоёси"
